Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Albania,940000,1140000,1160000,1210000,1260000,1360000,1330000,1650000,1660000,1730000,1800000,1890000,1980000,2090000
Algeria,39600000,54220000,54520000,53860000,51230000,56870000,55130000,63050000,64180000,65470000,66840000,68480000,70330000,72430000
Angola,25420000,34800000,35000000,34580000,32890000,36500000,35390000,40470000,41200000,42020000,42490000,42980000,43620000,44400000
Argentina,31570000,44720000,46840000,48230000,45120000,50070000,47180000,52980000,56600000,58160000,55490000,50390000,43260000,41300000
Armenia,820000,1060000,1030000,1070000,1040000,1200000,1110000,1250000,1300000,1330000,1360000,1380000,1410000,1440000
Australia,47480000,60420000,63450000,65140000,59940000,62690000,60510000,73640000,72170000,73220000,74420000,76000000,77790000,78950000
Austria,31370000,38230000,38720000,38850000,37850000,39330000,38080000,43210000,43170000,43430000,44020000,45470000,46760000,46780000
Azerbaijan,3090000,3810000,3940000,3980000,3920000,4500000,4770000,4950000,5310000,5500000,5750000,6050000,6400000,6730000
Bahrain,2370000,3400000,3590000,3580000,3380000,3760000,3690000,4120000,4380000,4510000,4680000,4870000,5080000,5230000
Bangladesh,12260000,17630000,18600000,18550000,17480000,19450000,19130000,21310000,22660000,23380000,24080000,24870000,25720000,28380000
Belarus,3890000,4820000,5000000,5060000,4990000,5690000,6000000,6180000,6670000,6910000,7140000,7380000,7620000,7960000
Belgium,37940000,46270000,46570000,46810000,45180000,47320000,45850000,54330000,52930000,53390000,53710000,54140000,54730000,55340000
Belize,100000,140000,150000,150000,140000,160000,150000,170000,180000,190000,190000,190000,200000,210000
Benin,2460000,3370000,3390000,3350000,3180000,3530000,3420000,3920000,3990000,4070000,4170000,4280000,4410000,4300000
Bhutan,140000,190000,210000,200000,190000,210000,210000,240000,250000,260000,270000,280000,280000,300000
Bolivia,1980000,2800000,2940000,3020000,2830000,3140000,2960000,3320000,3550000,3650000,3750000,3860000,3990000,4070000
Bosnia and Herzegovina,1310000,1620000,1660000,1680000,1680000,1790000,1750000,2040000,2060000,2110000,2160000,2230000,2300000,2390000
Botswana,2900000,3970000,3990000,3940000,3750000,4160000,4040000,4620000,4700000,4790000,4850000,4880000,4970000,5120000
Brazil,147300000,208700000,218600000,225100000,210600000,233700000,220200000,247200000,264100000,271400000,279700000,288800000,298700000,303200000
Brunei Darussalam,1210000,1740000,1840000,1830000,1730000,1920000,1890000,2110000,2240000,2310000,2460000,2650000,2880000,3020000
Bulgaria,4040000,5080000,5280000,5510000,5520000,6090000,6140000,7270000,7480000,7820000,8160000,8500000,8860000,9100000
Burkina Faso,2580000,3540000,3560000,3510000,3340000,3710000,3600000,4110000,4180000,4270000,4360000,4470000,4590000,4720000
Burundi,500000,690000,690000,680000,650000,720000,700000,800000,810000,830000,850000,870000,900000,900000
Cambodia,1190000,1700000,1800000,1790000,1690000,1880000,1850000,2060000,2190000,2260000,2330000,2420000,2520000,2650000
Cameroon,6740000,9230000,9280000,9170000,8720000,9680000,9380000,10730000,10920000,11140000,11430000,11840000,12300000,12500000
Canada,108300000,153400000,160700000,165500000,154800000,171800000,161900000,181800000,194200000,199500000,204000000,209100000,215200000,220700000
Chad,2580000,3540000,3560000,3510000,3340000,3710000,3590000,4110000,4180000,4270000,4450000,4660000,4880000,5080000
Chile,15560000,22040000,23090000,23770000,22240000,24680000,23250000,26110000,27900000,28670000,29410000,30360000,31490000,32060000
