Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Sport
Nstor Abad Sanjun,M,23,167,64,Spain,2016-S,2016,Summer,Rio de Janeiro,Gymnastics
Giordano Giulio Abbondati,M,15,175,64,Italy,1964-W,1964,Winter,Innsbruck,Figure Skating
Giordano Giulio Abbondati,M,19,175,64,Italy,1968-W,1968,Winter,Grenoble,Figure Skating
Jeremy Abbott,M,24,175,70,United States,2010-W,2010,Winter,Vancouver,Figure Skating
Jeremy Abbott,M,28,175,70,United States,2014-W,2014,Winter,Sochi,Figure Skating
Raouf Abdelraouf,M,22,167,63,Egypt,2000-S,2000,Summer,Sydney,Gymnastics
Irene Abel,F,19,160,48,East Germany,1972-S,1972,Summer,Munich,Gymnastics
Katja Abel,F,25,165,55,Germany,2008-S,2008,Summer,Beijing,Gymnastics
Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012-S,2012,Summer,London,Gymnastics
Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016-S,2016,Summer,Rio de Janeiro,Gymnastics
Jos Filipe Abreu,M,20,159,64,Portugal,1968-S,1968,Summer,Mexico City,Gymnastics
"Aleksandr Viktorovich ""Sasha"" Abt",M,25,179,68,Russia,2002-W,2002,Winter,Salt Lake City,Figure Skating
Ginko Abukawa-Chiba,F,26,148,46,Japan,1964-S,1964,Summer,Tokyo,Gymnastics
Andreea Roxana Acatrinei,F,16,150,40,Romania,2008-S,2008,Summer,Beijing,Gymnastics
Georgi Mirchev Adamov,M,25,173,64,Bulgaria,1964-S,1964,Summer,Tokyo,Gymnastics
Georgi Mirchev Adamov,M,29,173,64,Bulgaria,1968-S,1968,Summer,Mexico City,Gymnastics
Jonna Eva-Maj Adlerteg,F,17,153,38,Sweden,2012-S,2012,Summer,London,Gymnastics
Lena Annika Adomat,F,16,162,56,Sweden,1980-S,1980,Summer,Moskva,Gymnastics
Lena Annika Adomat,F,20,162,56,Sweden,1984-S,1984,Summer,Los Angeles,Gymnastics
Kseniya Dmitriyevna Afanasyeva,F,16,158,48,Russia,2008-S,2008,Summer,Beijing,Gymnastics
Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,2012-S,2012,Summer,London,Gymnastics
Lavinia Agache (-Carney),F,16,148,40,Romania,1984-S,1984,Summer,Los Angeles,Gymnastics
Andreas Aguilar,M,26,168,67,West Germany,1988-S,1988,Summer,Seoul,Gymnastics
Yutaka Aihara,M,21,156,55,Japan,1992-S,1992,Summer,Barcelona,Gymnastics
Lars Arne kesson,M,20,180,68,Sweden,1984-W,1984,Winter,Sarajevo,Figure Skating
Mirabella Viliamivna Akhunu,F,17,159,50,Ukraine,2004-S,2004,Summer,Athina,Gymnastics
Nashwan Haidar Al-Harazi,M,21,162,54,Yemen,2008-S,2008,Summer,Beijing,Gymnastics
Angela Alberti,F,23,163,55,Italy,1972-S,1972,Summer,Munich,Gymnastics
Nancy Aldama Ruiloba,F,22,156,52,Cuba,1968-S,1968,Summer,Mexico City,Gymnastics
Ilian Vasiliev Aleksandrov,M,20,172,66,Bulgaria,1992-S,1992,Summer,Barcelona,Gymnastics
Liliyana Lyubenova Aleksandrova,F,21,167,67,Bulgaria,1964-S,1964,Summer,Tokyo,Gymnastics
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19,171,63,Iceland,1996-S,1996,Summer,Atlanta,Gymnastics
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23,171,63,Iceland,2000-S,2000,Summer,Sydney,Gymnastics
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27,171,63,Iceland,2004-S,2004,Summer,Athina,Gymnastics
James Kanati Allen,M,21,173,64,United States,1968-S,1968,Summer,Mexico City,Gymnastics
Monique Marie Allen,F,16,157,46,Australia,1988-S,1988,Summer,Seoul,Gymnastics
Monique Marie Allen,F,20,157,46,Australia,1992-S,1992,Summer,Barcelona,Gymnastics
"Scott Ethan ""Scotty"" Allen",M,14,163,69,United States,1964-W,1964,Winter,Innsbruck,Figure Skating
Vittorio Allievi,M,21,165,65,Italy,1984-S,1984,Summer,Los Angeles,Gymnastics
Vittorio Allievi,M,25,165,65,Italy,1988-S,1988,Summer,Seoul,Gymnastics
Lenke Almsi,F,15,148,40,Hungary,1980-S,1980,Summer,Moskva,Gymnastics
Zsuzsa Almssy,F,13,158,60,Hungary,1964-W,1964,Winter,Innsbruck,Figure Skating
Zsuzsa Almssy,F,17,158,60,Hungary,1968-W,1968,Winter,Grenoble,Figure Skating
Zsuzsa Almssy,F,21,158,60,Hungary,1972-W,1972,Winter,Sapporo,Figure Skating
Barbara Alred (-Collins),F,18,157,52,Great Britain,1972-S,1972,Summer,Munich,Gymnastics
Tabea Lara Alt,F,16,158,50,Germany,2016-S,2016,Summer,Rio de Janeiro,Gymnastics
Maria Avelina Alvarez,F,18,162,45,Portugal,1980-S,1980,Summer,Moskva,Gymnastics
Maksim Nikolayevich Alyoshin,M,21,166,63,Russia,2000-S,2000,Summer,Sydney,Gymnastics
Isabella del Carmen Amado Medrano,F,19,155,59,Panama,2016-S,2016,Summer,Rio de Janeiro,Gymnastics
Simona Amnar (-Tabr),F,16,158,44,Romania,1996-S,1996,Summer,Atlanta,Gymnastics
Simona Amnar (-Tabr),F,20,158,44,Romania,2000-S,2000,Summer,Sydney,Gymnastics
Rocco Roberto Amboni,M,24,167,62,Italy,1984-S,1984,Summer,Los Angeles,Gymnastics
Hilda Amezaga Harfuch,F,18,155,47,Mexico,1972-S,1972,Summer,Munich,Gymnastics
Florent Amodio,M,19,164,56,France,2010-W,2010,Winter,Vancouver,Figure Skating
Florent Amodio,M,23,164,56,France,2014-W,2014,Winter,Sochi,Figure Skating
Thomas Andergassen,M,24,166,62,Germany,2004-S,2004,Summer,Athina,Gymnastics
Thomas Andergassen,M,28,166,62,Germany,2008-S,2008,Summer,Beijing,Gymnastics
Gnter Anderl,M,21,182,65,Austria,1968-W,1968,Winter,Grenoble,Figure Skating
Gnter Anderl,M,25,182,65,Austria,1972-W,1972,Winter,Sapporo,Figure Skating
Miki Ando,F,18,162,50,Japan,2006-W,2006,Winter,Torino,Figure Skating
Miki Ando,F,22,162,50,Japan,2010-W,2010,Winter,Vancouver,Figure Skating
