"Reporting Period","Period beginning","Year","Month","Day","Transportation_ID","Passengers [mln]"
1,2010-04-01,2010,"04","01","T1",189.114660628765
2,2010-05-02,2010,"05","02","T1",181.604792301158
3,2010-05-30,2010,"05","30","T1",175.883173302579
4,2010-06-27,2010,"06","27","T1",183.42805158039
5,2010-07-25,2010,"07","25","T1",160.422767234487
6,2010-08-22,2010,"08","22","T1",175.807335793799
7,2010-09-19,2010,"09","19","T1",189.797907116059
8,2010-10-17,2010,"10","17","T1",179.880914550251
9,2010-11-14,2010,"11","14","T1",178.845095060382
10,2010-12-12,2010,"12","12","T1",140.051899009624
11,2011-01-09,2011,"01","09","T1",183.026339927797
12,2011-02-06,2011,"02","06","T1",177.182204346119
13,2011-03-06,2011,"03","06","T1",173.941248412906
1,2011-04-01,2011,"04","01","T1",183.789069491589
2,2011-05-01,2011,"05","01","T1",186.143119764462
3,2011-05-29,2011,"05","29","T1",181.650212612244
4,2011-06-26,2011,"06","26","T1",186.668989856069
5,2011-07-24,2011,"07","24","T1",161.065079565907
6,2011-08-21,2011,"08","21","T1",173.899762003556
7,2011-09-18,2011,"09","18","T1",193.408662898132
8,2011-10-16,2011,"10","16","T1",185.15859648288
9,2011-11-13,2011,"11","13","T1",189.442540900886
10,2011-12-11,2011,"12","11","T1",151.192028576889
11,2012-01-08,2012,"01","08","T1",181.379252165251
12,2012-02-05,2012,"02","05","T1",179.495713363659
13,2012-03-04,2012,"03","04","T1",191.180345296429
1,2012-04-01,2012,"04","01","T1",171.84781227072
2,2012-04-29,2012,"04","29","T1",189.211965639542
3,2012-05-27,2012,"05","27","T1",176.538098797794
4,2012-06-24,2012,"06","24","T1",189.911059159048
5,2012-07-22,2012,"07","22","T1",167.138335481516
6,2012-08-19,2012,"08","19","T1",177.047312281512
7,2012-09-16,2012,"09","16","T1",194.215105946129
8,2012-10-14,2012,"10","14","T1",184.672365143198
9,2012-11-11,2012,"11","11","T1",187.603801045916
10,2012-12-09,2012,"12","09","T1",151.936326851277
11,2013-01-06,2013,"01","06","T1",178.122194415401
12,2013-02-03,2013,"02","03","T1",180.251795432464
13,2013-03-03,2013,"03","03","T1",186.504064168099
1,2013-04-01,2013,"04","01","T1",171.634595968945
2,2013-04-28,2013,"04","28","T1",188.778361614043
3,2013-05-26,2013,"05","26","T1",183.498908006647
4,2013-06-23,2013,"06","23","T1",190.178404316053
5,2013-07-21,2013,"07","21","T1",166.323654110889
6,2013-08-18,2013,"08","18","T1",173.679309253476
7,2013-09-15,2013,"09","15","T1",194.505985267331
8,2013-10-13,2013,"10","13","T1",186.348559676155
9,2013-11-10,2013,"11","10","T1",193.219191076835
10,2013-12-08,2013,"12","08","T1",155.130407763179
11,2014-01-05,2014,"01","05","T1",186.647878816633
12,2014-02-02,2014,"02","02","T1",185.628783601246
13,2014-03-02,2014,"03","02","T1",206.853331705212
1,2014-04-01,2014,"04","01","T1",164.112898433373
2,2014-04-27,2014,"04","27","T1",192.765236195915
3,2014-05-25,2014,"05","25","T1",188.08251980252
4,2014-06-22,2014,"06","22","T1",191.101571493063
5,2014-07-20,2014,"07","20","T1",169.244658794379
6,2014-08-17,2014,"08","17","T1",176.502125401103
7,2014-09-14,2014,"09","14","T1",198.759813419486
8,2014-10-12,2014,"10","12","T1",190.154690447377
9,2014-11-09,2014,"11","09","T1",195.639184914477
10,2014-12-07,2014,"12","07","T1",156.80424583121
11,2015-01-04,2015,"01","04","T1",178.226800421178
12,2015-02-01,2015,"02","01","T1",176.299455162584
13,2015-03-01,2015,"03","01","T1",207.50993919344
1,2015-04-01,2015,"04","01","T1",203.398289393128
2,2015-05-03,2015,"05","03","T1",180.451175373696
3,2015-05-31,2015,"05","31","T1",189.892539525346
4,2015-06-28,2015,"06","28","T1",182.509945321776
5,2015-07-26,2015,"07","26","T1",162.292764920454
6,2015-08-23,2015,"08","23","T1",175.002665351038
7,2015-09-20,2015,"09","20","T1",190.75672147698
8,2015-10-18,2015,"10","18","T1",181.199934892459
9,2015-11-15,2015,"11","15","T1",186.615148364667
10,2015-12-13,2015,"12","13","T1",147.103922530253
11,2016-01-10,2016,"01","10","T1",179.502636135863
12,2016-02-07,2016,"02","07","T1",175.980463651054
13,2016-03-06,2016,"03","06","T1",159.43962431382
1,2016-04-01,2016,"04","01","T1",189.2696945696
2,2016-05-01,2016,"05","01","T1",181.877468048234
3,2016-05-29,2016,"05","29","T1",173.644284930855
4,2016-06-26,2016,"06","26","T1",177.69937922221
5,2016-07-24,2016,"07","24","T1",155.321431013946
6,2016-08-21,2016,"08","21","T1",166.320514338579
7,2016-09-18,2016,"09","18","T1",186.918405327006
8,2016-10-16,2016,"10","16","T1",176.602462240755
9,2016-11-13,2016,"11","13","T1",182.652127331795
10,2016-12-11,2016,"12","11","T1",145.754935623882
11,2017-01-08,2017,"01","08","T1",174.43848180995
12,2017-02-05,2017,"02","05","T1",172.943392814074
13,2017-03-05,2017,"03","05","T1",178.366199990959
1,2017-04-01,2017,"04","01","T1",172.588060333231
2,2017-04-30,2017,"04","30","T1",182.263920984426
3,2017-05-28,2017,"05","28","T1",175.77594589206
4,2017-06-25,2017,"06","25","T1",181.477454668846
5,2017-07-23,2017,"07","23","T1",155.101884517712
6,2017-08-20,2017,"08","20","T1",165.988470214555
7,2017-09-17,2017,"09","17","T1",186.908371671768
8,2017-10-15,2017,"10","15","T1",178.097614004114
9,2017-11-12,2017,"11","12","T1",183.770939438019
10,2017-12-10,2017,"12","10","T1",145.061733890116
11,2018-01-07,2018,"01","07","T1",175.220732067227
12,2018-02-04,2018,"02","04","T1",168.653726683345
13,2018-03-04,2018,"03","04","T1",176.498381318536
1,2018-04-01,2018,"04","01","T1",165.865248103513
2,2018-04-29,2018,"04","29","T1",179.612823102442
3,2018-05-27,2018,"05","27","T1",173.88860943301
4,2018-06-24,2018,"06","24","T1",177.755870306838
5,2018-07-22,2018,"07","22","T1",151.501564083247
6,2018-08-19,2018,"08","19","T1",162.128235086385
7,2018-09-16,2018,"09","16","T1",183.725079425953
8,2018-10-14,2018,"10","14","T1",175.165368668707
9,2018-11-11,2018,"11","11","T1",180.521091365596
10,2018-12-09,2018,"12","09","T1",144.857876002392
11,2019-01-06,2019,"01","06","T1",171.335332279
12,2019-02-03,2019,"02","03","T1",171.305577599931
13,2019-03-03,2019,"03","03","T1",182.739445462348
1,2019-04-01,2019,"04","01","T1",156.637579987418
2,2019-04-28,2019,"04","28","T1",175.247137273556
3,2019-05-26,2019,"05","26","T1",171.380017864669
4,2019-06-23,2019,"06","23","T1",176.9586057244
5,2019-07-21,2019,"07","21","T1",149.823236668648
6,2019-08-18,2019,"08","18","T1",159.778183144974
7,2019-09-15,2019,"09","15","T1",179.309296507182
8,2019-10-13,2019,"10","13","T1",168.908631407927
9,2019-11-10,2019,"11","10","T1",176.215720795089
10,2019-12-08,2019,"12","08","T1",140.987996945574
11,2020-01-05,2020,"01","05","T1",169.423658260029
12,2020-02-02,2020,"02","02","T1",165.176222330374
13,2020-03-01,2020,"03","01","T1",126.446161327244
1,2020-04-01,2020,"04","01","T1",30.2237364582929
2,2020-05-03,2020,"05","03","T1",32.4672429009733
3,2020-05-31,2020,"05","31","T1",46.9595198346195
4,2020-06-28,2020,"06","28","T1",66.6657949301247
5,2020-07-26,2020,"07","26","T1",75.1739597866547
6,2020-08-23,2020,"08","23","T1",94.7614442804544
7,2020-09-20,2020,"09","20","T1",101.975027167687
8,2020-10-18,2020,"10","18","T1",88.8552370275924
9,2020-11-15,2020,"11","15","T1",88.9940473065065
10,2020-12-13,2020,"12","13","T1",57.4804427357954
11,2021-01-10,2021,"01","10","T1",51.622799783084
12,2021-02-07,2021,"02","07","T1",56.8932974292459
13,2021-03-07,2021,"03","07","T1",72.9284042237185
1,2021-04-01,2021,"04","01","T1",95.6100285076872
2,2021-05-02,2021,"05","02","T1",103.975701144657
3,2021-05-30,2021,"05","30","T1",106.64567801627
4,2021-06-27,2021,"06","27","T1",108.802606854393
5,2021-07-25,2021,"07","25","T1",98.487049447438
6,2021-08-22,2021,"08","22","T1",115.183917204322
7,2021-09-19,2021,"09","19","T1",129.767274016034
8,2021-10-17,2021,"10","17","T1",124.865080436634
1,2010-04-01,2010,"04","01","T2",90.5453907555068
2,2010-05-02,2010,"05","02","T2",84.5175036089329
3,2010-05-30,2010,"05","30","T2",84.2860141192329
4,2010-06-27,2010,"06","27","T2",86.4796124958329
5,2010-07-25,2010,"07","25","T2",82.8952868489249
6,2010-08-22,2010,"08","22","T2",80.8557023022248
7,2010-09-19,2010,"09","19","T2",88.6745198580249
8,2010-10-17,2010,"10","17","T2",90.2828240601749
9,2010-11-14,2010,"11","14","T2",90.5921266786998
10,2010-12-12,2010,"12","12","T2",72.5229790683998
11,2011-01-09,2011,"01","09","T2",84.4379417562998
12,2011-02-06,2011,"02","06","T2",87.7782323708499
13,2011-03-06,2011,"03","06","T2",83.4748600211721
1,2011-04-01,2011,"04","01","T2",91.2217717763614
2,2011-05-01,2011,"05","01","T2",87.7779433847998
3,2011-05-29,2011,"05","29","T2",88.9034568187998
