"ID","Restraint","Injury"
155680,"No Restraint","Fatal"
485611,"Car Seat","Possible Injury"
393548,"Car Seat","Incapacitating"
458896,"Lap-Only Belt","No Injury"
831474,"Lap-Only Belt","Fatal"
883235,"No Restraint","No Injury"
282013,"No Restraint","Incapacitating"
298609,"Lap and Shoulder Belt","Fatal"
942971,"No Restraint","Incapacitating"
403249,"Car Seat","Non-incapacitating"
932668,"No Restraint","Non-incapacitating"
371281,"No Restraint","Fatal"
268867,"No Restraint","Incapacitating"
767598,"No Restraint","Fatal"
363800,"Car Seat","Incapacitating"
403769,"No Restraint","Incapacitating"
597071,"No Restraint","Fatal"
564747,"Car Seat","Possible Injury"
379895,"No Restraint","Incapacitating"
860423,"Car Seat","Incapacitating"
496002,"No Restraint","Possible Injury"
431910,"Lap and Shoulder Belt","Non-incapacitating"
939718,"No Restraint","Possible Injury"
123364,"Car Seat","Possible Injury"
994557,"Lap and Shoulder Belt","No Injury"
681358,"Lap-Only Belt","Non-incapacitating"
372479,"Lap-Only Belt","Non-incapacitating"
484766,"Lap-Only Belt","Possible Injury"
243522,"No Restraint","Incapacitating"
208781,"Lap-Only Belt","Incapacitating"
974936,"Car Seat","Non-incapacitating"
834406,"No Restraint","Incapacitating"
584950,"No Restraint","Fatal"
766601,"No Restraint","Fatal"
289310,"Car Seat","Possible Injury"
709895,"No Restraint","Fatal"
389322,"No Restraint","Fatal"
389959,"No Restraint","Fatal"
577055,"No Restraint","Fatal"
254592,"No Restraint","Incapacitating"
575420,"Car Seat","Fatal"
103937,"Lap and Shoulder Belt","Fatal"
279303,"Lap-Only Belt","Possible Injury"
766206,"Car Seat","No Injury"
542820,"Lap-Only Belt","Incapacitating"
641715,"No Restraint","Incapacitating"
419191,"Car Seat","Fatal"
538432,"No Restraint","No Injury"
765578,"Lap and Shoulder Belt","Incapacitating"
610294,"Lap and Shoulder Belt","No Injury"
217469,"Car Seat","Fatal"
348652,"Lap and Shoulder Belt","Fatal"
137440,"Car Seat","Non-incapacitating"
137368,"No Restraint","Fatal"
104032,"No Restraint","Incapacitating"
656707,"No Restraint","Fatal"
362775,"No Restraint","Fatal"
568271,"No Restraint","Possible Injury"
128880,"Lap and Shoulder Belt","Fatal"
347661,"Lap and Shoulder Belt","Non-incapacitating"
726903,"Lap-Only Belt","No Injury"
539224,"No Restraint","Possible Injury"
942544,"Lap-Only Belt","Fatal"
790747,"Lap-Only Belt","Possible Injury"
519636,"Lap-Only Belt","Incapacitating"
346370,"No Restraint","Incapacitating"
862656,"Car Seat","Non-incapacitating"
862606,"No Restraint","Fatal"
257236,"Car Seat","Non-incapacitating"
836261,"Lap and Shoulder Belt","Fatal"
280358,"No Restraint","No Injury"
982707,"Car Seat","No Injury"
830252,"No Restraint","Incapacitating"
475618,"Car Seat","Non-incapacitating"
732198,"No Restraint","Fatal"
668997,"No Restraint","No Injury"
224535,"No Restraint","Possible Injury"
323005,"No Restraint","Non-incapacitating"
857844,"Car Seat","Non-incapacitating"
707721,"No Restraint","Possible Injury"
574391,"Car Seat","Incapacitating"
936442,"Lap-Only Belt","Fatal"
339633,"Lap and Shoulder Belt","Incapacitating"
477692,"No Restraint","Possible Injury"
325246,"No Restraint","Incapacitating"
361197,"Car Seat","Possible Injury"
624791,"Car Seat","Possible Injury"
905991,"Lap and Shoulder Belt","Fatal"
667622,"Car Seat","Incapacitating"
951064,"Lap and Shoulder Belt","Possible Injury"
461095,"Lap and Shoulder Belt","Non-incapacitating"
279518,"No Restraint","Incapacitating"
379902,"No Restraint","Incapacitating"
508360,"No Restraint","Incapacitating"
723450,"No Restraint","Incapacitating"
299021,"Car Seat","Non-incapacitating"
531084,"No Restraint","Incapacitating"
927545,"No Restraint","Fatal"
371439,"No Restraint","Incapacitating"
886919,"No Restraint","Fatal"
538674,"Car Seat","Non-incapacitating"
222067,"No Restraint","Incapacitating"
338349,"Lap-Only Belt","Incapacitating"
149612,"Lap-Only Belt","Incapacitating"
223132,"Lap-Only Belt","Possible Injury"
287664,"Car Seat","No Injury"
841342,"Car Seat","Non-incapacitating"
462009,"Lap and Shoulder Belt","Incapacitating"
452367,"Lap-Only Belt","Possible Injury"
651094,"Lap-Only Belt","Fatal"
790313,"Lap and Shoulder Belt","Incapacitating"
275820,"Lap and Shoulder Belt","Possible Injury"
463601,"No Restraint","Incapacitating"
708044,"Car Seat","Non-incapacitating"
276365,"Lap-Only Belt","Possible Injury"
944555,"No Restraint","Incapacitating"
854837,"Car Seat","No Injury"
253598,"Car Seat","Possible Injury"
182745,"Lap-Only Belt","No Injury"
739199,"Lap-Only Belt","Fatal"
500880,"Lap-Only Belt","Incapacitating"
577959,"No Restraint","Incapacitating"
242312,"Lap and Shoulder Belt","Possible Injury"
563715,"Car Seat","Non-incapacitating"
335819,"Lap-Only Belt","Non-incapacitating"
958842,"Lap and Shoulder Belt","Fatal"
941723,"Car Seat","No Injury"
624393,"No Restraint","Incapacitating"
520150,"Lap and Shoulder Belt","Fatal"
343765,"No Restraint","Incapacitating"
487056,"Car Seat","Fatal"
405901,"No Restraint","Incapacitating"
615693,"No Restraint","Fatal"
886853,"No Restraint","Fatal"
922417,"No Restraint","Incapacitating"
988797,"Car Seat","Incapacitating"
208697,"Car Seat","Incapacitating"
730923,"Lap-Only Belt","Incapacitating"
656880,"No Restraint","Incapacitating"
279117,"Lap-Only Belt","No Injury"
822546,"No Restraint","Possible Injury"
838456,"Lap-Only Belt","No Injury"
543516,"Car Seat","Fatal"
965891,"Car Seat","Fatal"
100435,"Car Seat","No Injury"
556962,"No Restraint","Incapacitating"
587733,"Lap-Only Belt","Fatal"
349785,"Car Seat","No Injury"
320913,"Lap-Only Belt","Possible Injury"
451414,"Lap-Only Belt","Incapacitating"
291331,"Lap and Shoulder Belt","Possible Injury"
645439,"Lap and Shoulder Belt","Fatal"
169330,"Car Seat","Possible Injury"
684536,"Car Seat","Possible Injury"
600158,"Car Seat","Non-incapacitating"
115486,"Lap and Shoulder Belt","Non-incapacitating"
347561,"Lap and Shoulder Belt","Incapacitating"
538762,"No Restraint","No Injury"
645544,"Lap and Shoulder Belt","No Injury"
477834,"No Restraint","Possible Injury"
517769,"Lap-Only Belt","Non-incapacitating"
891214,"No Restraint","Fatal"
374169,"Lap and Shoulder Belt","Incapacitating"
904526,"No Restraint","Incapacitating"
650505,"Lap-Only Belt","Incapacitating"
354921,"No Restraint","No Injury"
942558,"No Restraint","Incapacitating"
339245,"Lap-Only Belt","Incapacitating"
176586,"No Restraint","Incapacitating"
347692,"No Restraint","Possible Injury"
144390,"No Restraint","Fatal"
602793,"Car Seat","Possible Injury"
579311,"Car Seat","No Injury"
511708,"Lap and Shoulder Belt","No Injury"
452441,"No Restraint","Fatal"
136022,"Lap and Shoulder Belt","Non-incapacitating"
299215,"No Restraint","Incapacitating"
754758,"Lap-Only Belt","Non-incapacitating"
950591,"Lap-Only Belt","Fatal"
217599,"Lap-Only Belt","Incapacitating"
329389,"No Restraint","Incapacitating"
206635,"Lap and Shoulder Belt","Fatal"
644974,"Lap-Only Belt","Possible Injury"
440988,"No Restraint","Possible Injury"
428260,"Lap and Shoulder Belt","Incapacitating"
458417,"No Restraint","Incapacitating"
489752,"Lap-Only Belt","No Injury"
376422,"No Restraint","Fatal"
869219,"No Restraint","Fatal"
482622,"Lap and Shoulder Belt","No Injury"
113115,"Car Seat","Possible Injury"
648376,"No Restraint","Possible Injury"
766360,"No Restraint","Incapacitating"
483202,"Car Seat","Non-incapacitating"
962101,"No Restraint","Incapacitating"
386307,"No Restraint","Incapacitating"
679801,"Car Seat","Incapacitating"
980951,"No Restraint","Fatal"
835974,"Lap-Only Belt","Non-incapacitating"
461170,"Car Seat","Fatal"
510102,"Car Seat","Possible Injury"
195567,"No Restraint","Incapacitating"
108826,"No Restraint","Incapacitating"
335340,"Lap and Shoulder Belt","Fatal"
850886,"Lap and Shoulder Belt","No Injury"
524803,"Car Seat","Fatal"
894410,"Car Seat","Possible Injury"
191342,"No Restraint","No Injury"
150209,"Car Seat","Incapacitating"
846532,"Lap-Only Belt","No Injury"
991022,"No Restraint","Fatal"
219247,"Lap-Only Belt","Incapacitating"
129073,"Lap-Only Belt","Incapacitating"
708096,"Car Seat","No Injury"
285978,"Car Seat","Incapacitating"
120982,"Car Seat","No Injury"
344222,"Lap-Only Belt","Incapacitating"
861592,"No Restraint","Incapacitating"
844106,"Lap and Shoulder Belt","Fatal"
967590,"No Restraint","Incapacitating"
441730,"No Restraint","Possible Injury"
722257,"No Restraint","Fatal"
439506,"Car Seat","Possible Injury"
292646,"No Restraint","Incapacitating"
501646,"No Restraint","Incapacitating"
508678,"Lap-Only Belt","Non-incapacitating"
554285,"No Restraint","Incapacitating"
775390,"Car Seat","Incapacitating"
686428,"No Restraint","Fatal"
658547,"Lap-Only Belt","Possible Injury"
940097,"Car Seat","Possible Injury"
849001,"Car Seat","Possible Injury"
310529,"No Restraint","Fatal"
593962,"No Restraint","Incapacitating"
304626,"No Restraint","Incapacitating"
342709,"No Restraint","Incapacitating"
974764,"Lap and Shoulder Belt","No Injury"
289769,"No Restraint","Fatal"
339586,"No Restraint","Fatal"
646898,"Car Seat","Fatal"
345016,"No Restraint","Incapacitating"
182180,"Lap and Shoulder Belt","Possible Injury"
647702,"Lap and Shoulder Belt","Fatal"
196311,"No Restraint","Fatal"
935957,"No Restraint","Incapacitating"
593473,"No Restraint","Fatal"
634765,"Lap and Shoulder Belt","Non-incapacitating"
975645,"No Restraint","Incapacitating"
274046,"Lap and Shoulder Belt","No Injury"
261704,"No Restraint","Possible Injury"
749904,"Lap-Only Belt","Incapacitating"
737688,"Lap-Only Belt","Incapacitating"
532728,"Lap-Only Belt","Possible Injury"
956597,"No Restraint","Incapacitating"
634980,"No Restraint","Incapacitating"
792676,"No Restraint","No Injury"
323914,"Car Seat","Incapacitating"
318257,"Car Seat","No Injury"
162507,"Lap-Only Belt","Non-incapacitating"
462306,"No Restraint","Incapacitating"
101017,"Lap and Shoulder Belt","Incapacitating"
906814,"No Restraint","Incapacitating"
851869,"Car Seat","Fatal"
895927,"No Restraint","Possible Injury"
312431,"Car Seat","Fatal"
980264,"No Restraint","Fatal"
585830,"No Restraint","No Injury"
104041,"Lap-Only Belt","Possible Injury"
178254,"Lap and Shoulder Belt","Incapacitating"
922586,"No Restraint","Fatal"
208840,"Car Seat","Incapacitating"
257987,"No Restraint","Incapacitating"
784670,"Car Seat","Possible Injury"
730524,"No Restraint","Incapacitating"
534159,"No Restraint","Incapacitating"
692867,"Lap-Only Belt","Fatal"
961453,"No Restraint","No Injury"
320722,"No Restraint","Incapacitating"
322742,"No Restraint","Fatal"
661762,"Car Seat","Non-incapacitating"
