"plotID","honeybee","bumbles","andrena","osmia"
0,0.75,0.25,0.25,0.25
1,0.75,0.25,0.25,0.25
2,0.75,0.25,0.25,0.25
3,0.75,0.25,0.25,0.25
4,0.75,0.25,0.25,0.25
5,0.75,0.25,0.25,0.25
6,0.75,0.25,0.25,0.25
7,0.75,0.25,0.25,0.25
8,0.75,0.25,0.25,0.25
9,0.75,0.25,0.25,0.25
10,0.75,0.25,0.25,0.25
11,0.25,0.25,0.25,0.25
12,0.25,0.25,0.25,0.25
13,0.25,0.25,0.25,0.25
14,0.25,0.25,0.25,0.25
15,0.25,0.25,0.25,0.25
16,0.25,0.25,0.25,0.25
17,0.25,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25
19,0.25,0.25,0.25,0.25
20,0.25,0.25,0.25,0.25
21,0.25,0.25,0.25,0.25
22,0.25,0.25,0.25,0.25
23,0.25,0.25,0.25,0.25
24,0.25,0.25,0.25,0.25
25,0.25,0.25,0.25,0.25
26,0.25,0.25,0.25,0.25
27,0.25,0.25,0.25,0.25
28,0.25,0.25,0.25,0.25
29,0.25,0.25,0.25,0.25
30,0.25,0.25,0.25,0.25
31,0.25,0.25,0.25,0.25
32,0.25,0.25,0.25,0.25
33,0.25,0.25,0.25,0.25
34,0.25,0.25,0.25,0.25
35,0.25,0.25,0.25,0.25
36,0.25,0.25,0.25,0.25
37,0.25,0.25,0.25,0.25
38,0.25,0.25,0.25,0.25
39,0.25,0.25,0.25,0.25
40,0.25,0.25,0.25,0.38
41,0.25,0.25,0.25,0.38
42,0.25,0.25,0.25,0.38
43,0.25,0.25,0.25,0.38
44,0.25,0.25,0.25,0.38
45,0.25,0.25,0.25,0.38
46,0.25,0.25,0.25,0.38
47,0.25,0.25,0.25,0.38
48,0.25,0.25,0.25,0.38
49,0.25,0.25,0.25,0.38
50,0.25,0.25,0.25,0.38
51,0.25,0.25,0.25,0.25
52,0.25,0.25,0.25,0.25
53,0.25,0.25,0.25,0.25
54,0.25,0.25,0.25,0.25
55,0.25,0.25,0.25,0.25
56,0.25,0.25,0.25,0.25
57,0.25,0.25,0.25,0.25
58,0.25,0.25,0.25,0.25
59,0.25,0.25,0.25,0.25
60,0.25,0.25,0.25,0.25
61,0.25,0.25,0.25,0.25
62,0.25,0.25,0.25,0.25
63,0.25,0.25,0.25,0.25
64,0.25,0.25,0.25,0.25
65,0.25,0.25,0.25,0.25
66,0.25,0.25,0.25,0.25
67,0.25,0.25,0.25,0.38
68,0.25,0.25,0.25,0.38
69,0.25,0.25,0.25,0.38
70,0.25,0.25,0.25,0.38
71,0.25,0.25,0.25,0.38
72,0.25,0.25,0.25,0.38
73,0.25,0.25,0.25,0.38
74,0.25,0.25,0.25,0.38
75,0.25,0.25,0.25,0.38
76,0.25,0.25,0.25,0.38
77,0.25,0.25,0.25,0.38
78,0.25,0.25,0.25,0.38
79,0.25,0.25,0.25,0.38
80,0.25,0.25,0.25,0.38
81,0.25,0.25,0.25,0.38
82,0.25,0.25,0.25,0.38
83,0.25,0.25,0.25,0.5
84,0.25,0.25,0.25,0.5
85,0.25,0.25,0.25,0.5
86,0.25,0.25,0.25,0.5
87,0.25,0.25,0.25,0.5
88,0.25,0.25,0.25,0.5
89,0.25,0.25,0.25,0.5
