"plotID","MaxTemp","MinTemp","AverageTemp","RainingDays","AverageRainingDays"
0,30,11,22,16,0.26
1,30,11,22,1,0.1
2,35,14,26,16,0.26
3,35,14,26,1,0.1
4,30,11,22,24,0.39
5,30,11,22,34,0.56
6,35,14,26,24,0.39
7,35,14,26,34,0.56
8,25,8,18,16,0.26
9,25,8,18,1,0.1
10,21,6,15,16,0.26
11,30,11,22,16,0.26
12,30,11,22,1,0.1
13,35,14,26,16,0.26
14,35,14,26,1,0.1
15,30,11,22,24,0.39
16,30,11,22,34,0.56
17,35,14,26,24,0.39
18,35,14,26,34,0.56
19,25,8,18,16,0.26
20,25,8,18,1,0.1
21,21,6,15,16,0.26
22,21,6,15,1,0.1
23,25,8,18,24,0.39
24,25,8,18,34,0.56
25,30,11,22,16,0.26
26,30,11,22,1,0.1
27,35,14,26,16,0.26
28,35,14,26,1,0.1
29,30,11,22,24,0.39
30,30,11,22,34,0.56
31,35,14,26,24,0.39
32,35,14,26,34,0.56
33,25,8,18,16,0.26
34,25,8,18,1,0.1
35,21,6,15,16,0.26
36,21,6,15,1,0.1
37,25,8,18,24,0.39
38,25,8,18,34,0.56
39,21,6,15,34,0.56
40,30,11,22,16,0.26
41,30,11,22,1,0.1
42,35,14,26,16,0.26
43,35,14,26,1,0.1
44,30,11,22,24,0.39
45,30,11,22,34,0.56
46,35,14,26,24,0.39
47,35,14,26,34,0.56
48,25,8,18,16,0.26
49,25,8,18,1,0.1
50,21,6,15,16,0.26
51,30,11,22,16,0.26
52,30,11,22,1,0.1
53,35,14,26,16,0.26
54,35,14,26,1,0.1
55,30,11,22,24,0.39
56,30,11,22,34,0.56
57,35,14,26,24,0.39
58,35,14,26,34,0.56
59,25,8,18,16,0.26
60,25,8,18,1,0.1
61,21,6,15,16,0.26
62,21,6,15,1,0.1
63,25,8,18,24,0.39
64,25,8,18,34,0.56
65,21,6,15,24,0.39
66,21,6,15,34,0.56
67,30,11,22,16,0.26
68,30,11,22,1,0.1
69,35,14,26,16,0.26
70,35,14,26,1,0.1
71,30,11,22,24,0.39
72,30,11,22,34,0.56
73,35,14,26,24,0.39
74,35,14,26,34,0.56
75,25,8,18,16,0.26
76,25,8,18,1,0.1
77,21,6,15,16,0.26
78,21,6,15,1,0.1
79,25,8,18,24,0.39
80,25,8,18,34,0.56
81,21,6,15,24,0.39
82,21,6,15,34,0.56
83,30,11,22,16,0.26
84,30,11,22,1,0.1
85,35,14,26,16,0.26
86,35,14,26,1,0.1
87,30,11,22,24,0.39
88,30,11,22,34,0.56
89,35,14,26,24,0.39
90,35,14,26,34,0.56
91,25,8,18,16,0.26
92,25,8,18,1,0.1
93,21,6,15,16,0.26
94,21,6,15,1,0.1
95,25,8,18,24,0.39
96,25,8,18,34,0.56
97,21,6,15,24,0.39
98,21,6,15,34,0.56
99,30,11,22,16,0.26
100,30,11,22,1,0.1
101,35,14,26,16,0.26
102,35,14,26,1,0.1
103,30,11,22,24,0.39
104,30,11,22,34,0.56
105,35,14,26,24,0.39
106,35,14,26,34,0.56
107,25,8,18,16,0.26
108,25,8,18,1,0.1
109,21,6,15,16,0.26
110,21,6,15,1,0.1
111,25,8,18,24,0.39
112,25,8,18,34,0.56
113,21,6,15,24,0.39
114,21,6,15,34,0.56
115,30,11,22,16,0.26
116,30,11,22,1,0.1
117,35,14,26,16,0.26
118,35,14,26,1,0.1
119,30,11,22,24,0.39
120,30,11,22,34,0.56
121,35,14,26,24,0.39
122,35,14,26,34,0.56
123,25,8,18,16,0.26
124,25,8,18,1,0.1
125,21,6,15,16,0.26
126,21,6,15,1,0.1
127,25,8,18,24,0.39
128,25,8,18,34,0.56
129,21,6,15,24,0.39
130,21,6,15,34,0.56
131,30,11,22,16,0.26
132,30,11,22,1,0.1
133,35,14,26,16,0.26
134,35,14,26,1,0.1
135,30,11,22,24,0.39
136,30,11,22,34,0.56
137,35,14,26,24,0.39
138,35,14,26,34,0.56
139,25,8,18,16,0.26
140,25,8,18,1,0.1
141,21,6,15,16,0.26
142,21,6,15,1,0.1
143,25,8,18,24,0.39
144,25,8,18,34,0.56
145,21,6,15,24,0.39
146,21,6,15,34,0.56
147,30,11,22,16,0.26
148,30,11,22,1,0.1
149,35,14,26,16,0.26
150,35,14,26,1,0.1
151,30,11,22,24,0.39
152,30,11,22,34,0.56
153,35,14,26,24,0.39
154,35,14,26,34,0.56
155,25,8,18,16,0.26
156,25,8,18,1,0.1
157,21,6,15,16,0.26
158,21,6,15,1,0.1
159,25,8,18,24,0.39
160,25,8,18,34,0.56
161,21,6,15,24,0.39
162,21,6,15,34,0.56
163,30,11,22,16,0.26
164,30,11,22,1,0.1
165,35,14,26,16,0.26
166,35,14,26,1,0.1
167,30,11,22,24,0.39
168,30,11,22,34,0.56
169,35,14,26,24,0.39
170,35,14,26,34,0.56
171,25,8,18,16,0.26
172,25,8,18,1,0.1
173,21,6,15,16,0.26
174,21,6,15,1,0.1
175,25,8,18,24,0.39
176,25,8,18,34,0.56
177,21,6,15,24,0.39
178,21,6,15,34,0.56
179,30,11,22,16,0.26
180,30,11,22,1,0.1
181,35,14,26,16,0.26
182,35,14,26,1,0.1
183,30,11,22,24,0.39
184,30,11,22,34,0.56
185,35,14,26,24,0.39
186,35,14,26,34,0.56
187,25,8,18,16,0.26
188,25,8,18,1,0.1
189,21,6,15,16,0.26
190,21,6,15,1,0.1
191,25,8,18,24,0.39
192,25,8,18,34,0.56
193,21,6,15,24,0.39
194,21,6,15,34,0.56
195,30,11,22,16,0.26
196,30,11,22,1,0.1
197,35,14,26,16,0.26
198,35,14,26,1,0.1
199,30,11,22,24,0.39
200,30,11,22,34,0.56
201,35,14,26,24,0.39
202,35,14,26,34,0.56
203,25,8,18,16,0.26
204,25,8,18,1,0.1
205,21,6,15,16,0.26
206,21,6,15,1,0.1
207,25,8,18,24,0.39
208,25,8,18,34,0.56
209,21,6,15,24,0.39
210,21,6,15,34,0.56
211,30,11,22,16,0.26
212,30,11,22,1,0.1
213,35,14,26,16,0.26
214,35,14,26,1,0.1
215,30,11,22,24,0.39
216,30,11,22,34,0.56
217,35,14,26,24,0.39
218,35,14,26,34,0.56
219,25,8,18,16,0.26
220,25,8,18,1,0.1
221,21,6,15,16,0.26
222,21,6,15,1,0.1
223,25,8,18,24,0.39
224,25,8,18,34,0.56
225,21,6,15,24,0.39
226,21,6,15,34,0.56
227,30,11,22,16,0.26
228,30,11,22,1,0.1
229,35,14,26,16,0.26
230,35,14,26,1,0.1
231,30,11,22,24,0.39
232,30,11,22,34,0.56
233,35,14,26,24,0.39
234,35,14,26,34,0.56
235,25,8,18,16,0.26
236,25,8,18,1,0.1
237,21,6,15,16,0.26
238,21,6,15,1,0.1
239,25,8,18,24,0.39
240,25,8,18,34,0.56
241,21,6,15,24,0.39
242,21,6,15,34,0.56
243,30,11,22,16,0.26
244,30,11,22,1,0.1
245,35,14,26,16,0.26
246,35,14,26,1,0.1
247,30,11,22,24,0.39
248,30,11,22,34,0.56
249,35,14,26,24,0.39
250,35,14,26,34,0.56
251,25,8,18,16,0.26
252,25,8,18,1,0.1
253,21,6,15,16,0.26
254,21,6,15,1,0.1
255,25,8,18,24,0.39
256,25,8,18,34,0.56
257,21,6,15,24,0.39
